64
64
15
20,30,20,0
IDLE:0;ALERT:0,1,2,3,4,5,6,7,8;ATTACK:9,10,11,12*3,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0,64,64
64,0,64,64
128,0,64,64
192,0,64,64
256,0,64,64
320,0,64,64
384,0,64,64
448,0,64,64
512,0,64,64
576,0,64,64
640,0,64,64
704,0,64,64
768,0,64,64
832,0,64,64
896,0,64,64
960,0,64,64
1024,0,64,64
1088,0,64,64
1152,0,64,64
1216,0,64,64
1280,0,64,64
1344,0,64,64
1408,0,64,64
1472,0,64,64
1536,0,64,64
1600,0,64,64
1664,0,64,64
1728,0,64,64
1792,0,64,64
1856,0,64,64
1920,0,64,64
1984,0,64,64
2048,0,64,64
